event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
20,intensity,30,0,1,WRFrain_noPGW_HPE20.mat,WRFrain_PGW_V3_HPE20.mat,0.026907171,0.008809832,-0.018097339,0.327415783,mm_per_hr
21,intensity,30,0,1,WRFrain_noPGW_HPE21.mat,WRFrain_PGW_V3_HPE21.mat,0.029261138,0.013217793,-0.016043345,0.451718348,mm_per_hr
22,intensity,30,0,1,WRFrain_noPGW_HPE22.mat,WRFrain_PGW_V3_HPE22.mat,0.170740172,0.121404894,-0.049335277,0.711050558,mm_per_hr
23,intensity,30,0,1,WRFrain_noPGW_HPE23.mat,WRFrain_PGW_V3_HPE23.mat,0.381461767,0.267272851,-0.114188915,0.700654364,mm_per_hr
24,intensity,30,0,1,WRFrain_noPGW_HPE24.mat,WRFrain_PGW_V3_HPE24.mat,0.725843317,0.767776623,0.041933305,1.057771842,mm_per_hr
25,intensity,30,0,1,WRFrain_noPGW_HPE25.mat,WRFrain_PGW_V3_HPE25.mat,0.678683939,0.618898285,-0.059785654,0.911909432,mm_per_hr
26,intensity,30,0,1,WRFrain_noPGW_HPE26.mat,WRFrain_PGW_V3_HPE26.mat,0.271506366,0.240894424,-0.030611942,0.887251476,mm_per_hr
27,intensity,30,0,1,WRFrain_noPGW_HPE27.mat,WRFrain_PGW_V3_HPE27.mat,0.398533209,0.498508619,0.09997541,1.250858417,mm_per_hr
28,intensity,30,0,1,WRFrain_noPGW_HPE28.mat,WRFrain_PGW_V3_HPE28.mat,0.426512557,0.428493889,0.001981332,1.004645425,mm_per_hr
29,intensity,30,0,1,WRFrain_noPGW_HPE29.mat,WRFrain_PGW_V3_HPE29.mat,0.318165531,0.160497487,-0.157668043,0.504446497,mm_per_hr
30,intensity,30,0,1,WRFrain_noPGW_HPE30.mat,WRFrain_PGW_V3_HPE30.mat,0.453097374,0.300348725,-0.152748649,0.662878979,mm_per_hr
31,intensity,30,0,1,WRFrain_noPGW_HPE31.mat,WRFrain_PGW_V3_HPE31.mat,0.197519884,0.178282303,-0.019237582,0.902604329,mm_per_hr
32,intensity,30,0,1,WRFrain_noPGW_HPE32.mat,WRFrain_PGW_V3_HPE32.mat,0.362825422,0.307893612,-0.05493181,0.848599887,mm_per_hr
33,intensity,30,0,1,WRFrain_noPGW_HPE33.mat,WRFrain_PGW_V3_HPE33.mat,0.381362116,0.556626569,0.175264452,1.459574889,mm_per_hr
34,intensity,30,0,1,WRFrain_noPGW_HPE34.mat,WRFrain_PGW_V3_HPE34.mat,0.545369019,0.581341412,0.035972393,1.065959729,mm_per_hr
35,intensity,30,0,1,WRFrain_noPGW_HPE35.mat,WRFrain_PGW_V3_HPE35.mat,0.501090512,0.560415834,0.059325322,1.118392427,mm_per_hr
36,intensity,30,0,1,WRFrain_noPGW_HPE36.mat,WRFrain_PGW_V3_HPE36.mat,0.773596829,0.853033345,0.079436516,1.102684646,mm_per_hr
37,intensity,30,0,1,WRFrain_noPGW_HPE37.mat,WRFrain_PGW_V3_HPE37.mat,0.897910357,0.755214489,-0.142695868,0.841080051,mm_per_hr
38,intensity,30,0,1,WRFrain_noPGW_HPE38.mat,WRFrain_PGW_V3_HPE38.mat,0.385279624,0.257150339,-0.128129285,0.667438202,mm_per_hr
39,intensity,30,0,1,WRFrain_noPGW_HPE39.mat,WRFrain_PGW_V3_HPE39.mat,0.307734385,0.123190217,-0.184544168,0.400313462,mm_per_hr
40,intensity,30,0,1,WRFrain_noPGW_HPE40.mat,WRFrain_PGW_V3_HPE40.mat,0.158463908,0.138130144,-0.020333764,0.871682049,mm_per_hr
41,intensity,30,0,1,WRFrain_noPGW_HPE41.mat,WRFrain_PGW_V3_HPE41.mat,1.422978663,1.982913134,0.559934471,1.393494636,mm_per_hr
